buy_date,buy_price,sell_date,sell_price,return_pct,highest,max_return_pct,sell_type,sell_reason,score,code,board,board_type,n_limit
2026-02-03 00:00:00,10.14,2026-02-05 00:00:00,10.78,6.31,11.5,13.41,trailing_stop,追踪止损: 从高点-6.26%,85,000533,深主板,main,3
2026-03-09 00:00:00,16.37,2026-03-11 00:00:00,17.87,9.16,19.27,17.72,trailing_stop,追踪止损: 从高点-7.27%,75,000533,深主板,main,3
2025-08-01 00:00:00,15.693,2025-08-05 00:00:00,16.753,6.75,18.193,15.93,trailing_stop,追踪止损: 从高点-7.92%,80,000534,深主板,main,2
2024-10-25 00:00:00,3.78,2024-10-29 00:00:00,4.58,21.16,4.58,21.16,take_profit,止盈: 21.16%,68,000536,深主板,main,3
2024-10-25 00:00:00,3.78,2024-10-29 00:00:00,4.58,21.16,4.58,21.16,take_profit,止盈: 21.16%,68,000536,深主板,main,10
2024-12-03 00:00:00,6.2,2024-12-05 00:00:00,6.12,-1.29,6.58,6.13,end_of_data,数据结束,62,000536,深主板,main,10
2025-02-10 00:00:00,5.39,2025-02-12 00:00:00,5.22,-3.15,5.39,0.0,peak_signal,见顶信号: RSI81.9+上影52.4%,66,000536,深主板,main,2
2025-03-06 00:00:00,6.3,2025-03-10 00:00:00,6.02,-4.44,6.3,0.0,end_of_data,数据结束,63,000536,深主板,main,2
2026-03-11 00:00:00,11.37,2026-03-13 00:00:00,12.39,8.97,13.76,21.02,trailing_stop,追踪止损: 从高点-9.96%,85,000537,深主板,main,3
2026-03-24 00:00:00,11.95,2026-03-30 00:00:00,10.64,-10.96,12.76,6.78,stop_loss,止损: -10.96%,65,000537,深主板,main,3
2025-05-28 00:00:00,4.7692,2025-05-30 00:00:00,5.1774,8.56,5.7549,20.67,trailing_stop,追踪止损: 从高点-10.03%,75,000539,深主板,main,2
2026-02-24 00:00:00,3.11,2026-02-27 00:00:00,3.52,13.18,3.69,18.65,peak_signal,见顶信号: RSI83.5+上影68.0%,67,000545,深主板,main,2
2026-03-06 00:00:00,3.75,2026-03-17 00:00:00,3.95,5.33,4.33,15.47,trailing_stop,追踪止损: 从高点-8.78%,75,000545,深主板,main,2
2025-11-14 00:00:00,9.41,2025-11-18 00:00:00,11.39,21.04,11.39,21.04,take_profit,止盈: 21.04%,75,000547,深主板,main,5
2025-12-02 00:00:00,16.35,2025-12-05 00:00:00,20.57,25.81,20.57,25.81,take_profit,止盈: 25.81%,80,000547,深主板,main,5
2024-11-22 00:00:00,5.7561,2024-11-26 00:00:00,5.9344,3.1,6.9648,21.0,trailing_stop,追踪止损: 从高点-14.79%,75,000548,深主板,main,2
2024-09-30 00:00:00,10.44,2024-10-10 00:00:00,13.08,25.29,13.09,25.38,take_profit,止盈: 25.29%,70,000551,深主板,main,2
