buy_date,buy_price,sell_date,sell_price,return_pct,highest,max_return_pct,sell_type,sell_reason,score,code,board,board_type,n_limit
2024-08-08 00:00:00,2.66,2024-08-12 00:00:00,3.22,21.05,3.22,21.05,take_profit,止盈: 21.05%,70,000509,深主板,main,4
2025-10-21 00:00:00,3.45,2025-10-23 00:00:00,3.7,7.25,4.18,21.16,trailing_stop,追踪止损: 从高点-11.48%,75,000509,深主板,main,2
2026-03-05 00:00:00,3.63,2026-03-12 00:00:00,3.9,7.44,4.15,14.33,trailing_stop,追踪止损: 从高点-6.02%,85,000509,深主板,main,2
2026-03-20 00:00:00,4.54,2026-03-23 00:00:00,4.09,-9.91,4.54,0.0,stop_loss,止损: -9.91%,56,000509,深主板,main,2
2025-05-26 00:00:00,5.91,2025-06-03 00:00:00,6.03,2.03,6.48,9.64,trailing_stop,追踪止损: 从高点-6.94%,70,000510,深主板,main,2
2025-04-17 00:00:00,4.09,2025-04-23 00:00:00,4.15,1.47,4.72,15.4,trailing_stop,追踪止损: 从高点-12.08%,57,000514,深主板,main,2
2025-11-06 00:00:00,5.81,2025-11-11 00:00:00,6.21,6.88,6.95,19.62,trailing_stop,追踪止损: 从高点-10.65%,75,000514,深主板,main,2
2026-01-05 00:00:00,4.72,2026-01-07 00:00:00,5.12,8.47,5.6,18.64,trailing_stop,追踪止损: 从高点-8.57%,80,000516,深主板,main,2
2026-01-14 00:00:00,6.19,2026-01-15 00:00:00,5.57,-10.02,6.19,0.0,stop_loss,止损: -10.02%,73,000516,深主板,main,2
2024-10-24 00:00:00,2.56,2024-10-28 00:00:00,2.95,15.23,2.95,15.23,take_profit,止盈: 15.23%,66,000518,深主板,main,2
2024-11-08 00:00:00,3.4,2024-11-14 00:00:00,3.11,-8.53,3.54,4.12,stop_loss,止损: -8.53%,61,000518,深主板,main,3
2026-05-20 00:00:00,3.41,2026-05-21 00:00:00,3.75,9.97,3.75,9.97,end_of_data,数据结束,75,000518,深主板,main,2
2024-05-09 00:00:00,2.79,2024-05-10 00:00:00,2.82,1.08,3.05,9.32,trailing_stop,追踪止损: 从高点-7.54%,67,000520,深主板,main,2
2025-05-13 00:00:00,5.09,2025-05-15 00:00:00,5.5,8.06,6.16,21.02,trailing_stop,追踪止损: 从高点-10.71%,68,000520,深主板,main,2
2025-06-13 00:00:00,5.27,2025-06-18 00:00:00,5.54,5.12,5.98,13.47,trailing_stop,追踪止损: 从高点-7.36%,80,000520,深主板,main,2
2025-12-19 00:00:00,3.73,2025-12-24 00:00:00,3.78,1.34,4.1,9.92,trailing_stop,追踪止损: 从高点-7.80%,63,000523,深主板,main,2
2024-11-06 00:00:00,5.18,2024-11-11 00:00:00,5.95,14.86,6.5,25.48,trailing_stop,追踪止损: 从高点-8.46%,63,000530,深主板,main,2
2024-12-12 00:00:00,6.13,2024-12-16 00:00:00,7.43,21.21,7.43,21.21,take_profit,止盈: 21.21%,75,000530,深主板,main,3
2025-12-01 00:00:00,6.77,2025-12-03 00:00:00,7.7,13.74,8.2,21.12,trailing_stop,追踪止损: 从高点-6.10%,75,000530,深主板,main,2
2025-01-02 00:00:00,6.67,2025-01-06 00:00:00,6.77,1.5,8.07,20.99,trailing_stop,追踪止损: 从高点-16.11%,75,000533,深主板,main,8
2025-11-05 00:00:00,7.94,2025-11-07 00:00:00,9.04,13.85,9.6,20.91,peak_signal,见顶信号: RSI88.6+上影52.3%,69,000533,深主板,main,3
2026-02-03 00:00:00,10.14,2026-02-05 00:00:00,10.78,6.31,11.5,13.41,trailing_stop,追踪止损: 从高点-6.26%,85,000533,深主板,main,3
2026-03-09 00:00:00,16.37,2026-03-11 00:00:00,17.87,9.16,19.27,17.72,trailing_stop,追踪止损: 从高点-7.27%,75,000533,深主板,main,4
2025-08-01 00:00:00,15.693,2025-08-05 00:00:00,16.753,6.75,18.193,15.93,trailing_stop,追踪止损: 从高点-7.92%,80,000534,深主板,main,2
2024-10-25 00:00:00,3.78,2024-10-29 00:00:00,4.58,21.16,4.58,21.16,take_profit,止盈: 21.16%,68,000536,深主板,main,10
2025-02-10 00:00:00,5.39,2025-02-18 00:00:00,5.39,0.0,5.66,5.01,end_of_data,数据结束,66,000536,深主板,main,2
2025-05-28 00:00:00,4.769,2025-05-30 00:00:00,5.177,8.56,5.755,20.68,trailing_stop,追踪止损: 从高点-10.04%,75,000539,深主板,main,2
2026-03-19 00:00:00,6.17,2026-03-25 00:00:00,7.46,20.91,7.46,20.91,take_profit,止盈: 20.91%,85,000539,深主板,main,2
2025-03-20 00:00:00,7.256,2025-03-21 00:00:00,7.648,5.4,7.972,9.87,peak_signal,见顶信号: RSI82.6+上影51.6%,68,000541,深主板,main,2
2025-11-14 00:00:00,9.41,2025-11-18 00:00:00,11.39,21.04,11.39,21.04,take_profit,止盈: 21.04%,75,000547,深主板,main,6
2025-12-02 00:00:00,16.35,2025-12-02 00:00:00,16.35,0.0,16.35,0.0,end_of_data,数据结束,80,000547,深主板,main,6
2024-11-22 00:00:00,5.756,2024-11-26 00:00:00,5.934,3.09,6.965,21.0,trailing_stop,追踪止损: 从高点-14.80%,75,000548,深主板,main,2
2025-12-22 00:00:00,12.53,2025-12-24 00:00:00,15.16,20.99,15.16,20.99,take_profit,止盈: 20.99%,75,000551,深主板,main,4
2024-10-21 00:00:00,5.54,2024-10-23 00:00:00,6.6,19.13,6.6,19.13,take_profit,止盈: 19.13%,63,000553,深主板,main,4
2025-06-13 00:00:00,7.004,2025-06-18 00:00:00,7.614,8.71,8.484,21.13,trailing_stop,追踪止损: 从高点-10.25%,75,000554,深主板,main,2
2024-04-29 00:00:00,13.553,2024-05-10 00:00:00,13.164,-2.87,13.902,2.58,peak_signal,见顶信号: RSI84.2+上影52.2%,75,000555,深主板,main,2
2024-12-11 00:00:00,3.58,2024-12-13 00:00:00,4.33,20.95,4.33,20.95,take_profit,止盈: 20.95%,72,000558,深主板,main,4
2024-10-31 00:00:00,6.52,2024-11-05 00:00:00,7.38,13.19,7.62,16.87,peak_signal,见顶信号: RSI85.4+上影40.7%,75,000559,深主板,main,2
2025-09-15 00:00:00,8.65,2025-09-17 00:00:00,10.47,21.04,10.47,21.04,take_profit,止盈: 21.04%,72,000559,深主板,main,4
2025-09-18 00:00:00,11.52,2025-09-19 00:00:00,10.37,-9.98,11.52,0.0,stop_loss,止损: -9.98%,85,000559,深主板,main,4
