code,name,source_a_count,source_b_count,merged_count,fix_from,price_mismatch,quality_issues
688237,超卓航科,927,932,932,TDX+BaoStock,2,0
688238,和元生物,999,999,999,TDX+BaoStock,1,0
688239,航宇科技,1172,1172,1172,TDX+BaoStock,2,0
688244,永信至诚,860,860,860,TDX+BaoStock,3,0
688246,嘉和美康,1063,1063,1063,TDX+BaoStock,0,0
688247,宣泰医药,893,893,893,TDX+BaoStock,0,0
688248,南网科技,1057,0,1057,TDX,0,0
688249,晶合集成,728,0,728,TDX,0,0
688251,井松智能,951,0,951,TDX,0,0
688252,天德钰,871,0,871,TDX,0,0
688253,英诺特,913,0,913,TDX,0,0
688255,凯尔达,1099,0,1099,TDX,0,0
688256,DR寒武纪,1292,0,1292,TDX,0,0
688257,新锐股份,1097,0,1097,TDX,0,0
688258,卓易信息,1292,0,1292,TDX,0,0
688259,创耀科技,1043,0,1043,TDX,0,0
688260,昀冢科技,1232,1232,1232,TDX+BaoStock,0,0
688261,东微半导,1027,1027,1027,TDX+BaoStock,2,0
688262,国芯科技,1047,1047,1047,TDX+BaoStock,1,0
688265,南模生物,1053,1053,1053,TDX+BaoStock,1,0
688266,泽璟制药,1292,1292,1292,TDX+BaoStock,0,0
688267,中触媒,1023,1023,1023,TDX+BaoStock,4,0
688268,华特气体,1292,1292,1292,TDX+BaoStock,4,0
688269,凯立新材,1189,1189,1189,TDX+BaoStock,6,0
688270,ST臻镭,1031,1032,1032,TDX+BaoStock,2,0
688271,联影医疗,896,896,896,TDX+BaoStock,0,0
688272,富吉瑞,1102,1104,1104,TDX+BaoStock,0,0
688273,麦澜德,903,903,903,TDX+BaoStock,6,0
688275,万润新能,869,869,869,TDX+BaoStock,1,0
688276,百克生物,1178,1178,1178,TDX+BaoStock,1,0
688277,天智航,1292,1292,1292,TDX+BaoStock,0,0
688278,特宝生物,1292,1292,1292,TDX+BaoStock,3,0
688279,峰岹科技,980,980,980,TDX+BaoStock,1,0
688280,精进电动,1097,1097,1097,TDX+BaoStock,0,0
688281,华秦科技,1010,1010,1010,TDX+BaoStock,4,0
688282,理工导航,999,1001,1001,TDX+BaoStock,2,0
