code,board,bars,first_bar,last_bar,written,status,errors
000531,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000532,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000533,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000534,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000536,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000537,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000538,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000539,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000541,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000543,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000544,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000545,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000546,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000547,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000548,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000550,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000551,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000552,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000553,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000554,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000555,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000557,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000558,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000559,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000560,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000561,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000563,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000564,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000565,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000566,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000567,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000568,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000570,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000571,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000572,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000573,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000576,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000581,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
