sell_date,sell_price,return_pct,max_return_pct,sell_type,d0_vol_ratio,d0_upper_shadow,d1_gap,buy_date,code,board,board_type,n_limit
2024-01-26 00:00:00,9.31,1.42,14.05,trailing_stop,2.69,0.0,-0.54,2024-01-18 00:00:00,000037,深主板,main,2
2024-04-16 00:00:00,8.86,-11.22,6.01,stop_loss,2.54,0.0,-1.96,2024-04-09 00:00:00,000037,深主板,main,2
2024-06-07 00:00:00,10.47,4.49,11.88,trailing_stop,2.75,0.0,1.93,2024-06-03 00:00:00,000037,深主板,main,2
2026-01-07 00:00:00,9.78,5.5,12.41,trailing_stop,2.19,0.0,-0.86,2025-11-27 00:00:00,000039,深主板,main,2
2026-05-08 00:00:00,12.81,2.32,9.03,trailing_stop,2.2,0.0,0.72,2026-04-30 00:00:00,000039,深主板,main,2
2024-03-13 00:00:00,5.09,14.13,21.52,trailing_stop,4.0,0.0,-0.45,2024-03-12 00:00:00,000042,深主板,main,2
2024-07-10 00:00:00,3.99,-9.32,3.64,stop_loss,2.19,0.0,1.15,2024-07-02 00:00:00,000042,深主板,main,2
2025-06-18 00:00:00,11.09,0.64,7.8,trailing_stop,2.2,0.0,-0.99,2025-05-27 00:00:00,000045,深主板,main,2
2025-10-13 00:00:00,14.85,19.37,19.37,take_profit,3.83,0.0,0.0,2025-09-18 00:00:00,000045,深主板,main,2
2026-01-29 00:00:00,12.63,-8.61,0.0,stop_loss,4.69,0.0,1.32,2026-01-22 00:00:00,000045,深主板,main,2
2026-01-13 00:00:00,15.06,-9.06,8.7,stop_loss,2.64,0.0,1.78,2025-12-30 00:00:00,000048,深主板,main,2
2024-06-24 00:00:00,20.37,-9.35,2.85,stop_loss,7.11,0.0,-0.27,2024-06-18 00:00:00,000049,深主板,main,2
2024-07-19 00:00:00,25.76,-8.49,5.4,stop_loss,2.04,0.0,1.73,2024-07-10 00:00:00,000049,深主板,main,2
2024-08-05 00:00:00,22.84,-12.49,0.0,stop_loss,3.14,0.0,1.28,2024-08-01 00:00:00,000049,深主板,main,2
2025-12-15 00:00:00,27.27,-9.4,0.0,stop_loss,5.92,0.0,1.76,2025-12-02 00:00:00,000049,深主板,main,2
2025-03-12 00:00:00,4.22,5.76,13.28,trailing_stop,7.25,0.0,0.0,2025-01-14 00:00:00,000055,深主板,main,2
2025-04-30 00:00:00,3.97,-8.53,0.0,stop_loss,10.9,0.0,1.88,2025-04-28 00:00:00,000055,深主板,main,2
2024-03-08 00:00:00,3.36,16.26,16.26,take_profit,2.76,0.0,-1.7,2024-03-06 00:00:00,000056,深主板,main,2
2025-02-13 00:00:00,3.19,1.59,11.15,trailing_stop,2.04,0.0,1.95,2025-02-11 00:00:00,000056,深主板,main,2
2025-07-23 00:00:00,3.09,-8.31,1.48,stop_loss,4.01,0.0,-1.46,2025-07-02 00:00:00,000056,深主板,main,2
2026-04-30 00:00:00,1.74,-12.12,5.05,stop_loss,2.96,0.0,-4.35,2026-04-22 00:00:00,000056,深主板,main,2
2025-10-24 00:00:00,10.78,1.79,16.15,trailing_stop,2.09,0.0,-2.13,2025-10-13 00:00:00,000058,深主板,main,2
2024-04-16 00:00:00,4.9,-17.51,0.0,stop_loss,2.9,0.0,-1.98,2024-04-15 00:00:00,000059,深主板,main,2
2025-11-20 00:00:00,10.17,7.85,15.16,trailing_stop,2.13,0.0,1.95,2025-11-12 00:00:00,000061,深主板,main,2
2025-12-18 00:00:00,9.42,-8.01,0.0,stop_loss,2.0,0.0,0.89,2025-12-16 00:00:00,000061,深主板,main,2
2024-06-24 00:00:00,7.89,-12.72,0.0,stop_loss,5.89,0.0,-2.06,2024-06-20 00:00:00,000062,深主板,main,2
2025-07-30 00:00:00,25.17,-8.47,0.0,stop_loss,3.46,0.0,1.89,2025-06-30 00:00:00,000062,深主板,main,2
2026-03-19 00:00:00,26.49,3.07,10.66,trailing_stop,5.41,0.0,-1.53,2026-03-12 00:00:00,000062,深主板,main,2
2024-02-02 00:00:00,10.05,-9.13,5.97,stop_loss,2.4,0.0,0.73,2024-01-26 00:00:00,000065,深主板,main,2
2025-07-02 00:00:00,11.67,7.26,14.89,trailing_stop,5.65,0.0,1.21,2025-06-25 00:00:00,000065,深主板,main,2
2026-03-17 00:00:00,15.77,-9.63,0.86,stop_loss,3.61,0.0,1.1,2026-03-10 00:00:00,000066,深主板,main,2
2024-08-26 00:00:00,3.16,16.18,16.18,take_profit,2.82,0.0,-1.45,2024-07-24 00:00:00,000068,深主板,main,2
2024-12-17 00:00:00,3.96,-11.21,0.0,stop_loss,2.67,0.0,-0.67,2024-12-13 00:00:00,000068,深主板,main,2
2025-11-18 00:00:00,2.72,0.37,7.75,trailing_stop,4.34,0.0,1.88,2025-11-11 00:00:00,000069,深主板,main,2
2024-01-24 00:00:00,9.58,22.19,22.19,take_profit,8.85,0.0,-1.01,2024-01-23 00:00:00,000070,深主板,main,4
2025-08-13 00:00:00,9.99,17.39,17.39,take_profit,5.16,0.0,-0.58,2025-08-08 00:00:00,000070,深主板,main,2
2025-11-06 00:00:00,9.67,-8.08,1.24,stop_loss,2.33,0.0,1.06,2025-10-24 00:00:00,000070,深主板,main,2
2024-01-15 00:00:00,3.18,-8.09,0.0,stop_loss,3.82,0.0,-1.42,2024-01-05 00:00:00,000078,深主板,main,2
2025-06-10 00:00:00,2.59,0.78,7.39,trailing_stop,3.79,0.0,0.0,2025-05-28 00:00:00,000078,深主板,main,2
2025-08-08 00:00:00,2.71,0.37,7.41,trailing_stop,4.73,0.0,-0.74,2025-07-03 00:00:00,000078,深主板,main,2
2025-11-17 00:00:00,4.88,22.0,22.0,take_profit,4.48,0.0,-2.68,2025-10-24 00:00:00,000090,深主板,main,2
2024-05-07 00:00:00,4.44,-10.84,1.2,stop_loss,6.45,0.0,-0.6,2024-04-02 00:00:00,000100,深主板,main,2
2024-11-13 00:00:00,6.44,2.88,9.74,trailing_stop,3.91,0.3546,0.97,2024-10-23 00:00:00,000153,深主板,main,2
2025-07-29 00:00:00,7.5,9.17,17.61,trailing_stop,7.25,0.0,1.18,2025-07-02 00:00:00,000153,深主板,main,2
2024-05-15 00:00:00,11.46,2.23,9.01,trailing_stop,2.02,0.0,1.17,2024-04-30 00:00:00,000155,深主板,main,2
2024-11-22 00:00:00,10.75,-9.28,5.99,stop_loss,3.66,0.184,0.34,2024-10-17 00:00:00,000155,深主板,main,2
2025-02-13 00:00:00,9.25,9.86,19.48,trailing_stop,4.0,0.0,1.57,2025-02-12 00:00:00,000156,深主板,main,2
2026-02-12 00:00:00,9.07,-8.38,0.0,stop_loss,2.25,0.0,0.71,2026-02-11 00:00:00,000156,深主板,main,2
2024-08-26 00:00:00,7.19,17.48,24.18,take_profit,3.11,0.0,0.0,2024-07-23 00:00:00,000158,深主板,main,2
2024-09-13 00:00:00,8.3,6.41,18.59,trailing_stop,2.1,0.0,0.0,2024-09-11 00:00:00,000158,深主板,main,2
2025-08-21 00:00:00,25.61,6.71,15.42,trailing_stop,5.39,0.0,-1.07,2025-07-18 00:00:00,000158,深主板,main,2
2025-11-24 00:00:00,22.17,-8.73,7.04,stop_loss,5.85,0.0,-1.14,2025-10-17 00:00:00,000158,深主板,main,2
