code,board,n_days,annual_return,annual_vol,sharpe,max_drawdown,daily_vol,limit_up_count,limit_down_count,vol_mean,vol_cv,vol_price_corr,autocorr,amplitude,short_score,trend_score
000411,深主板,1277,-0.032310670933639596,0.40170433177667003,-0.08043396194095041,-0.5446333687566418,0.025304994344248807,17,3,62389.3255086072,1.0274308710783573,0.32010935076372715,-0.0851328714588861,0.03159989874273619,0.3492462311557789,0.1829145728643216
000415,深主板,1288,0.2294758288298424,0.3836796586376437,0.5980922461322478,-0.43434343434343436,0.0241695466635562,16,3,623658.3723816912,1.2463685454247566,0.284443383754336,-0.002908499363249467,0.03257891290902966,0.41457286432160806,0.5185929648241207
000417,深主板,1288,0.1348538419379699,0.36933226452926265,0.3651287875156254,-0.3203389830508475,0.023265745788017878,10,6,190893.2342901474,1.0591847230820672,0.317954859257094,-0.023962416494493752,0.030326846011522697,0.29547738693467335,0.43015075376884426
000419,深主板,1288,0.12638666227387585,0.3901819621745213,0.3239172348447656,-0.5784543325526932,0.024579153285166525,16,10,117739.03956555469,1.140816096058926,0.3021583830078888,0.011982904071136993,0.030089363207049576,0.349748743718593,0.4195979899497488
000420,深主板,1271,0.3636856657164178,0.48361676203776127,0.7520121184054842,-0.6461295418641391,0.03046499243367188,31,3,625765.5558176101,1.0862155666140265,0.312946372560986,0.030521758627578173,0.04101006692850214,0.7291457286432161,0.5522613065326634
000421,深主板,1278,0.09400359682387371,0.45876895343271534,0.20490400695272987,-0.6059670781893005,0.028899727619531825,33,13,173568.45035183738,1.1731944627853048,0.06062244648196029,0.07089283849234737,0.03484532792166594,0.5804020100502513,0.5658291457286433
000422,深主板,1287,0.5923851974874952,0.5234503543486404,1.1316931826794432,-0.7797812592373633,0.03297427288797952,32,16,374692.29891304346,0.904526554822982,0.2808646207807858,0.07039623732210402,0.04287233687445588,0.7668341708542714,0.65678391959799
000423,深主板,1288,0.1323479982118878,0.33722454637156346,0.39246252870947024,-0.4232943076301978,0.021243149659183946,7,1,67576.96974398759,0.5708669773360016,0.21684290084726038,0.01901084524302971,0.02938400004303559,0.13618090452261306,0.542713567839196
000425,深主板,1265,0.19325796428801234,0.35051564278159364,0.5513533226488023,-0.46901579586877284,0.022080410034239262,7,1,820801.1777251185,0.697004029657691,0.2764773179195261,-0.033304274196773176,0.03023662774681738,0.1798994974874372,0.457286432160804
000426,深主板,1288,0.545169962984783,0.4690040186014406,1.1623993427827497,-0.5127081507449607,0.029544476121650547,13,4,357893.80605120247,0.7260259646398016,0.07433441223326702,0.06366012505368576,0.03868541602211411,0.542713567839196,0.7597989949748744
000428,深主板,1288,0.21866874919548662,0.4918783245041428,0.4445586200935449,-0.5951293759512938,0.030985421950978333,30,16,303418.73002327385,0.9564593998092997,0.3016272745525526,0.06879703546992678,0.04274311453636024,0.7120603015075377,0.6603015075376885
000429,深主板,1288,0.18411810667216955,0.22381328787437907,0.822641534918653,-0.2735913102511881,0.014098911900650359,0,1,73472.3747090768,0.7307014851743265,0.10860605498627417,-0.05253217915638407,0.0216784594473538,0.036180904522613064,0.5055276381909548
000430,深主板,1284,0.20905450517617385,0.43420127643328876,0.48146911702663603,-0.5187165775401069,0.027352109437840295,17,7,118300.57587548638,0.9954856255731682,0.051206497098828074,0.055866128601974936,0.03706549075468606,0.4989949748743719,0.6668341708542714
000488,深主板,1287,-0.11891811646765116,0.3664434046546706,-0.32451973471788187,-0.8564356435643564,0.02308376472133493,9,3,318361.6187888199,1.0179659772594691,0.10052751612837599,-0.007598760454454145,0.027887436507108603,0.23969849246231156,0.09296482412060302
000498,深主板,1288,0.09595753819836106,0.35857069272987463,0.2676112134759704,-0.5924657534246576,0.0225878304857001,7,5,173783.66020170675,0.879267103933334,0.25797958123641523,0.02604420353185203,0.028313722400997922,0.20251256281407035,0.4552763819095478
000501,深主板,1288,-0.009750624791326157,0.3312467591432983,-0.029436136421512906,-0.4961597542242704,0.020866584459268527,7,3,127735.37238169124,1.0553285577870803,0.2991201300820582,-0.057148937258056344,0.02715748457833498,0.20301507537688446,0.22663316582914572
000503,深主板,1288,0.0998254956623279,0.49978267040623703,0.19973780919852024,-0.7063750581665891,0.031483348939872945,37,6,215121.29480217223,0.962880413146769,0.3214866283024544,0.10395352586754895,0.042642071097323,0.7396984924623116,0.5633165829145728
000504,深主板,1286,0.05637750616481774,0.4922672515249839,0.11452621719232206,-0.7689194658033185,0.031009922050390208,29,15,39196.16239316239,1.1413799853847741,0.1913481190329241,0.14923856216653322,0.04149390527918686,0.7733668341708543,0.5879396984924623
000505,深主板,1288,0.012493139992830304,0.40483011676790165,0.03086020400995242,-0.6258823529411766,0.02550190029040731,22,7,157701.26764934056,1.2987581540727349,0.3309359499574353,0.028733366205899155,0.03147582421279569,0.45025125628140705,0.3517587939698492
000506,深主板,1276,0.7305323281286691,0.5991389249078208,1.2193037336725594,-0.8658008658008658,0.03774220466868324,52,8,462553.9162098669,0.9829573640762549,0.006798804175613023,0.17165920626506725,0.0444680145464461,0.849748743718593,0.7864321608040201
000507,深主板,1288,0.02554435008848155,0.30223715533085266,0.08451757051683036,-0.4839094159713946,0.019039151189738944,9,1,153218.2808378588,1.1064589954660349,0.42057937259473516,-0.059025119216023866,0.024736816750135067,0.17085427135678394,0.2633165829145729
000509,深主板,1287,0.16881683007051307,0.4524844519172644,0.373088687037098,-0.5626204238921002,0.02850384123562964,24,10,157466.64751552796,1.2917158452276134,0.12113765747430226,0.12684199687631845,0.03848280052340569,0.6603015075376883,0.7683417085427136
000510,深主板,1278,0.4299592603188067,0.5265361847663119,0.8165806505959925,-0.6808252427184467,0.03316866193258136,30,19,266754.19390148553,1.159345554234219,0.15497689804254638,0.06256032081380457,0.04362681277122711,0.8688442211055276,0.6537688442211055
000513,深主板,1288,-0.005071256985452077,0.3033354522218065,-0.016718312839159487,-0.45362718089990817,0.019108337390671786,2,1,72262.36307214895,0.6380227259077658,0.2208883187553011,0.00841928057544133,0.026342503448519065,0.07035175879396985,0.3417085427135679
000514,深主板,1288,0.1971586486879897,0.509271697469818,0.387138436452527,-0.6443850267379679,0.032081101458782395,40,17,265320.3824670287,1.166236331555335,0.3675786477810973,0.12967367337243918,0.04008110026964923,0.7864321608040201,0.7316582914572863
000516,深主板,1286,-0.08158797293361297,0.4594924098155796,-0.17756108956480665,-0.8088026502602934,0.028945301087947566,20,8,357042.5361305361,0.8444065935475698,0.12773515524190854,0.06366205976523394,0.03870056939979388,0.5381909547738694,0.3658291457286432
000517,深主板,1288,0.014157899879713609,0.41103511325988046,0.03444450224076637,-0.5780487804878048,0.025892778328593123,20,8,326436.2133436773,0.9494033067695238,0.3492636666920917,0.04151216151655527,0.034699132079378865,0.38241206030150754,0.428140703517588
000518,深主板,1287,-0.015101419940298899,0.44256605481379285,-0.03412240901903951,-0.6733576642335767,0.027879040946577997,26,9,216638.55900621117,1.2333231282311798,0.1326505619411803,0.031091056462564978,0.034581357032095764,0.5537688442211055,0.31708542713567844
000519,深主板,1288,0.2384996293182513,0.4699470664955247,0.5075031771062721,-0.7263013698630136,0.029603882555035543,17,3,451822.69899146626,0.7519599824472833,0.36606446762937406,0.059964160814040664,0.039267129629804214,0.5633165829145729,0.5778894472361809
000520,深主板,1288,0.1481897325405035,0.4765901604954318,0.31093745701013886,-0.5688487584650113,0.030022358142173147,39,14,263476.98060512025,1.2145332462852083,0.2887863393892675,0.0030799417381211134,0.03609237907529375,0.6623115577889447,0.3944723618090452
000521,深主板,1288,0.071786132662087,0.40905573593498085,0.17549230179600112,-0.5420408163265306,0.02576808927734444,16,3,277288.7595034911,0.8601904160192225,0.2848794316745476,-0.009768965183045408,0.034101933917048174,0.3487437185929648,0.31909547738693467
